"filename", "language", "TypeScript", "JSON with Comments", "JSON", "JavaScript", "TOML", "comment", "blank", "total"
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/character/calculation/attacks/attack/abilityDamage/getAbilityDamage.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 4, 34
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/character/calculation/attacks/attack/calculateAttackBonus/calculateAttackBonus.test.ts", "TypeScript", 40, 0, 0, 0, 0, 0, 4, 44
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/character/calculation/attacks/attack/calculateAttackBonus/calculateAttackBonus.ts", "TypeScript", 241, 0, 0, 0, 0, 0, 23, 264
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/character/calculation/attacks/attack/extraDamageSections/getExtraDamageSections.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 2, 17
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/character/calculation/attacks/attack/getAttackDamageFormula.test.ts", "TypeScript", 153, 0, 0, 0, 0, 2, 7, 162
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/character/calculation/attacks/attack/getAttackDamageFormula.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 4, 40
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/character/calculation/attacks/attack/utils/filterDamageChanges.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 2, 7
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/character/calculation/attacks/attack/utils/filterDamageTypeChanges.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 2, 7
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/character/calculation/attacks/attack/utils/getAttackText.ts", "TypeScript", 93, 0, 0, 0, 0, 0, 7, 100
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/character/calculation/attacks/attack/utils/getDamageSectionFromChange.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 2, 16
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/character/calculation/attacks/attack/utils/mapSubstitutionDataToSubstitutionExpressions.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 2, 15
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/character/calculation/attacks/attack/weaponDamage/getWeaponDamageSection.ts", "TypeScript", 95, 0, 0, 0, 0, 0, 16, 111
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/character/calculation/attacks/damage/calculateDamage.test.ts", "TypeScript", 379, 0, 0, 0, 0, 0, 15, 394
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/character/calculation/attacks/damage/calculateDamage.ts", "TypeScript", 374, 0, 0, 0, 0, 0, 25, 399
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/character/calculation/attacks/damage/damageTypeId/getDamageTypeId.test.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 6, 32
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/character/calculation/attacks/damage/damageTypeId/getDamageTypeId.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 2, 13
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/character/calculation/attacks/damage/index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 1, 2
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/character/calculation/attacks/getCalculatedAttackData.ts", "TypeScript", 180, 0, 0, 0, 0, 0, 10, 190
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/character/calculation/baseAttackBonus/calculateBaseAttackBonus.ts", "TypeScript", 107, 0, 0, 0, 0, 0, 17, 124
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/character/calculation/calculateCharacterSheet.spec.ts", "TypeScript", 482, 0, 0, 0, 0, 0, 2, 484
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/character/calculation/calculateCharacterSheet.ts", "TypeScript", 76, 0, 0, 0, 0, 0, 6, 82
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/character/calculation/classLevels/calculateCharacterClassLevels.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 2, 15
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/character/calculation/hitPoints/calculateHitPoints.ts", "TypeScript", 60, 0, 0, 0, 0, 0, 6, 66
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/character/calculation/initiative/calculateInitiative.spec.ts", "TypeScript", 23, 0, 0, 0, 0, 2, 3, 28
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/character/calculation/initiative/calculateInitiative.ts", "TypeScript", 74, 0, 0, 0, 0, 0, 11, 85
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/character/calculation/savingThrows/calculateSavingThrows.ts", "TypeScript", 216, 0, 0, 0, 0, 0, 22, 238
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/character/calculation/sources/calculateSources.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 3, 32
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/character/calculation/sources/compileCharacterChanges.ts", "TypeScript", 301, 0, 0, 0, 0, 0, 27, 328
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/character/calculation/sources/sumSources.ts", "TypeScript", 118, 0, 0, 0, 0, 0, 13, 131
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/character/calculation/valuesIndex/valuesIndex.ts", "TypeScript", 91, 0, 0, 0, 0, 0, 7, 98
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/character/update/buffs/toggleBuff.test.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 3, 14
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/character/update/buffs/toggleBuff.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 5, 26
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/character/update/updateLevel/advanceClassLevels.ts", "TypeScript", 48, 0, 0, 0, 0, 0, 7, 55
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/character/update/updateLevel/updateClassLevel.spec.ts", "TypeScript", 67, 0, 0, 0, 0, 0, 7, 74
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/class/baseAttackBonus.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 4, 9
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/class/class.ts", "TypeScript", 41, 0, 0, 0, 0, 0, 8, 49
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/class/classFeatures.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 3, 7
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/class/saves.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 3, 18
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/class/spellCasting.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 5, 39
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/damage/damageTypes.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 8, 47
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/formulae/formula.ts", "TypeScript", 38, 0, 0, 0, 0, 3, 10, 51
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/items/armor/armorEnhancements.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 1, 3
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/items/armor/armorTypes.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 1, 2
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/items/enhancements/itemEnhancements.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 5, 31
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/items/magicItems/armorProperties/armorProperties.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 4, 37
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/items/shields/shieldTypes.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 1, 2
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/language/locatedString.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 4
